Question,Answer1,points,Answer2,points,Answer3,points,Answer4,points,Answer5,points,Answer6,points,Answer7,points
Name Something A Teen Wouldn�t Be Able To Go Without For A Day.,Cell Phone,5,TV,16,Snacks/Food,3,Video Games,8,Computer,50,Listening To Music,3,A Loan,11
Name A Type Of Professional That You Seldom See Joking Around.,Lawyer,4,Doctor,27,Politician,3,Judge,9,Teacher,4,Police,31,Accountant,19
Name Something You Do More Of When Someone�s Taking A Home Video Of You.,Smile,5,Laugh,22,Talk,3,Hide,10,Wave,5,Pose/Show Off,37,Act Silly,16
Real Or Fictional; Name A Famous Man With Long Hair,Jesus,7,Fabio,15,Samson,7,Howard Stern,8,George Washington,7,Hercules,41,Albert Einstein,11
Something You�D Hate For Your Date To Be Allergic To,Flowers,10,Perfume/Cologne,22,Me,4,Dinner,10,Chocolates,5,Kissing,26,Alcohol,10
Name Something That Makes An Otherwise Average Person Seem Very Atrractive,Make Up,8,Nice Haircut,23,Great Smile,6,Personality,12,Clothes,7,Money,26,Alcohol,13
Name A Vehicle That You Can Hear Coming Before You See It,Semi Truck,6,Train,29,Motorcycle,3,Police Car,10,Ice Cream Truck,33,Bus,4,Ambulance,12
Name Something Specific You Often Run Out Of Space To Write On,Check,26,Greeting Card,20,Post It Note,16,Hand,10,Envelope,10,Notebook Page,10,Application,4
What Would You Do In A Job Interview That Would Guarantee You Don�t Get The Job.,Chew Gum/Candy,28,Lie,20,Pass Gas,20,Swear,11,Smoke,9,Sleep,5,Arrive Late,4
Name Something Kids Get Away With In Schools Today; That They Wouldn�t Have 50 Years Ago.,Talking Back,17,Swearing,26,Cheating,4,Chewing Gum,10,Use Cell Phone,8,Skipping Class,4,Arriving Late,28
Name A Souvenir People Collect That Has A City�s Name On It.,Spoon,18,Shirt,19,Key Chain,8,Coffee Cups,11,Glasses,10,Plates,10,Ashtray,20
Name A Celebrity From Decades Ago; Who�s Still Thought Of As A Style Icon.,Marilyn Monroe,8,Elvis Presley,31,Twiggy,3,Elizabeth Taylor,6,James Dean,6,Jackie O,5,Audrey Hepburn,32
Name A Country That Is Known For Their Beer,Germany,17,Ireland,19,USA,6,Canada,14,England,9,Mexico,8,Australia,25
Name A Reason Why A Man Might Seem Too Immature To Date,Younger Man,17,Lives With Parents,23,No Job,4,No Car,8,Goofs Around,8,No Money,4,Baby Face,35
Name Something You Try To Get Rid Of That Always Seems To Come Back.,Pimple,16,Men,18,Bugs,6,Cold,6,Boomerang,10,Bad Headache,8,Bad Habit,26
Unlike �Honey Bun�; Name A Breakfast Food That Doesn�t Make A Good Pet Name,Cereal,15,Eggs,22,Bacon,5,Toast,3,Pancake,10,Donut,6,Bagel,27
Other Than A Bar; Name A Place Where It�s Common To Get Hit On.,Work/School,13,Party,18,Shopping Center,6,Gym,5,Church,10,Park,7,Beach,33
Name An Animal With A Terrifying Bite.,Snake,18,Dog,18,Shark,5,Lion,4,Tiger,11,Alligator,5,Bear,23
Name Something A Family Uses In Their Home A Robot Family Wouldn�t Need,Food,30,Television,28,Bathroom,8,Dishwasher,5,Microwave,8,Drinks,8,Bed,12
If You Lived On Sesame Street; Which Character Would Get On Your Nerves?,Big Bird,41,Elmo,19,Oscar,15,Cookie Monster,7,Ernie,4,Grover,3,Bert,11
Why Might Someone�s Phone Number Be Unlisted?,Privacy,6,Famous,17,Avoid Telemarketers,12,Occupation,3,Getting Prank Calls,10,Just Moved,5,Bill Collectors,12
Name A Reason Why Someone Might Not Want Their Phone Number listed In The Phone Book.,Privacy,6,Prank Calls,18,Stalker,13,Telemarketers,35,Ex,6,They�re Famous,5,Bill Collectors,17
Name Something You Might Find On Top Of A Tall Office Building,Antenna,7,Satellite Dish,19,Flag,19,Helipad,38,Lightning Rod,8,Roof,8,Bird,8
Name Something That Can Go Wrong During A First Kiss With Someone,Bad Breath,3,Miss Their Mouth,16,Bump Nose/ Head,12,Cough,23,Sneeze,8,Burp,8,Bite Up,14
Name Something That People Use Less In The Summer Than In The Winter,Coat,11,Heater,29,Gloves,6,Shovel,35,Boots,5,Sweater,5,Blankets,11
Name Something You�d See A Lot Of In California,Beaches,14,Palm Trees,24,Sun,11,Movie Stars,43,Artists,9,Cars,6,Blondes,13
Name A Movie Based On A TV Show Or Skit,Charlie�s Angel,13,Bewitched,16,Wayne�s World,15,Dukes Of Hazzard,28,Brady Bunch,13,Starsky And Hutch,7,Blues Brother,13
Name An Odor That�s So Distinct; You Know Right Away What It Is,Skunk,5,Garlic,18,Onions,17,Poop,21,Roses,10,Gasoline,8,Body Odor,8
Name A Type Of Club,Golf Club,12,Night Club,22,Gentleman�s Club,8,Club Sandwich,22,Billy Club,5,Country Club,4,Book Club,6
Name A Country Known For Having Beautiful Weather.,United States,27,Mexico,15,Australia,14,Bahamas,50,France,11,Spain,9,Brazil,8
Name a Rowdy Star Who Might Benefit From Going To Charm School,Dennis Rodman,22,Charlie Sheen,20,Paris Hilton,16,Lindsay Lohan,15,Mike Tyson,7,Kid Rock,7,Britney Spears,6
Name The Worst Part About Riding The Bus.,Crowded,30,Stinky,18,Bumpy,12,Noise,12,Takes Longer,7,Hot,6,Bus Fare,6
Name Something A Person Does That Slows Down The Checkout Line At The Supermarket,Use Coupons,30,Talk,20,Write Check,16,Price Check,9,Count Change,6,Read Magazines,4,Buy Too Many Items,3
Name Something You�d Be Afraid To Do By Yourself,Travel,43,Skydive,16,Sleep,12,Swim,10,Walk At Night,6,Watch Scary Movie,6,Camp,4
Name A Holiday Food People Plan To Avoid; But End Up Eating Anyway.,Pie,28,Turkey,22,Cake,17,Cookies,11,Fruitcake,4,Ham,4,Candy,10
Name A Food That Doesn�t Need To Be Refrigerated,Bread,35,Bananas,16,Cookies,13,Chips,10,Potatoes,6,Cereal,6,Canned Goods,8
Name A Complaint People Have About Their Cell Phones,No Service,21,Dropped Calls,19,Fuzzy Reception,16,Expensive,14,Batteries Die Fast,3,Break Easily,4,Can�t Hear Well,12
Name The Worst Thing To Have To Share With A Sibling,Clothes,33,Bedroom,3,Bed,4,Toys,10,Food,25,Bathroom,3,Car,20
Name Something You Keep In Your Car�s Glove Compartment.,Registration,35,Map,3,Insurance Card,8,Flashlight,12,Gloves,23,Tissues,4,Car Manual,13
Name Something You Associate With Fairy Tales,Princess,40,Fairies,5,Happy Ending,7,Prince,8,Wicked Witch,15,Brothers Grimm,5,Castle,15
Name An Animal With Sharp Teeth,Shark,36,Tiger,3,Lion,7,Dog,11,Bear,20,Wolf,4,Cat,18
What Traffic Signs Describe Your Life Style?,Stop,9,Green Light,3,Yield/Slow Down,7,Dead End,8,Do Not Enter,17,Curves Ahead,6,Caution,13
What Are Some Things Truckers Might Take With Them On A Trip?,Food,6,Map,4,Change Of Clothes,9,Coffee,15,Companion,21,Music`,5,Cell Phone,17
Name A Food Almost Everyone Knows How To Make,Eggs,6,Hamburger,8,Spaghetti,8,Macaroni & Cheese,9,Peanut Butter & Jelly,15,Chicken,44,Cereal,14
Besides Ice Cream; Name A Food That Can Be Scooped.,Mashed Potatoes,4,Yogurt,8,Cataloupe,8,Cottage Cheese,9,Jello,25,Rice,27,Cereal,11
Name Something People Associate With �A Christmas Carol� By Charles Dickens.,Christmas,4,Tiny Tim,9,Scrooge,8,Bob Cratchit,11,Christmas Tree,19,Ghosts,32,Chains,18
Name Something An Experienced Parent Does Automatically When They Pick Up A Crying Baby.,Rock Them,5,Pat Back,9,Sing Lullaby,11,Feed,11,Hug/Cuddle,21,Bounce Them,29,Change Diaper,7
Name A Game People Play At Picnics,Tag,3,Frisbee,20,Volleyball,17,Horseshoes,12,Football,11,Baseball,24,Checkers/Chess,9
Name A Fruit That People Might Add To Jell-o,Strawberry,3,Apple,18,Pineapple,16,Peach,7,Banana,14,Grape,32,Cherry,16
What Do College Students Do That Annoys Their Professors The Most?,Talk,6,Fall Asleep,18,Skip Class,17,Cheat,8,Text Message,9,Arrive Late,23,Chew Gum,13
Name A Drink Or Food That Can Be Eaten Either Hot Or Cold.,Tea,7,Pizza,29,Coffee,17,Milk,3,Soup,4,Cereal,20,Chicken,8
Name A Food That Would Be Disgusting To Be Fed �Romantically�.,Fish,28,Soup,19,Pizza,16,Noodles,7,Hot Dog,8,Ribs,32,Chicken,12
